8=FIX4.4, 35=D, 34=52, 49=M3, 56=MS, 52=2022-09-22-00:40:07, 55=AAPL, 40=2, 38=25511, 21=2, 11=algo20220922004007, 60=2022-09-22-00:40:07, 54=1, 44=1276.37, 10=0252,
8=FIX4.4, 35=D, 34=83, 49=M3, 56=MS, 52=2022-09-22-00:40:50, 55=TMUS, 40=2, 38=18182, 21=2, 11=algo20220922004050, 60=2022-09-22-00:40:50, 54=1, 44=90.74, 10=0252,
8=FIX4.4, 35=D, 34=85, 49=M3, 56=MS, 52=2022-09-22-00:40:52, 55=MDLZ, 40=2, 38=11083, 21=2, 11=algo20220922004052, 60=2022-09-22-00:40:52, 54=2, 44=52.26, 10=0252,
8=FIX4.4, 35=D, 34=86, 49=M3, 56=MS, 52=2022-09-22-00:40:54, 55=BAC, 40=2, 38=10077, 21=2, 11=algo20220922004054, 60=2022-09-22-00:40:54, 54=1, 44=22.03, 10=0252,
8=FIX4.4, 35=D, 34=87, 49=M3, 56=MS, 52=2022-09-22-00:40:55, 55=DDD, 40=2, 38=6398, 21=2, 11=algo20220922004055, 60=2022-09-22-00:40:55, 54=2, 44=8.01, 10=0252,
8=FIX4.4, 35=D, 34=89, 49=M3, 56=MS, 52=2022-09-22-00:40:57, 55=MMM, 40=2, 38=9506, 21=2, 11=algo20220922004057, 60=2022-09-22-00:40:57, 54=1, 44=146.98, 10=0252,
8=FIX4.4, 35=D, 34=91, 49=M3, 56=MS, 52=2022-09-22-00:40:59, 55=WBAI, 40=2, 38=16337, 21=2, 11=algo20220922004059, 60=2022-09-22-00:40:59, 54=2, 44=4.10, 10=0252,
8=FIX4.4, 35=D, 34=93, 49=M3, 56=MS, 52=2022-09-22-00:41:02, 55=WUBA, 40=2, 38=31985, 21=2, 11=algo20220922004102, 60=2022-09-22-00:41:02, 54=1, 44=51.41, 10=0252,
8=FIX4.4, 35=D, 34=94, 49=M3, 56=MS, 52=2022-09-22-00:41:04, 55=EGHT, 40=2, 38=20992, 21=2, 11=algo20220922004104, 60=2022-09-22-00:41:04, 54=2, 44=17.03, 10=0252,
8=FIX4.4, 35=D, 34=95, 49=M3, 56=MS, 52=2022-09-22-00:41:05, 55=AHC, 40=2, 38=26165, 21=2, 11=algo20220922004105, 60=2022-09-22-00:41:05, 54=1, 44=1.40, 10=0252,
8=FIX4.4, 35=D, 34=97, 49=M3, 56=MS, 52=2022-09-22-00:41:07, 55=AOS, 40=2, 38=23128, 21=2, 11=algo20220922004107, 60=2022-09-22-00:41:07, 54=1, 44=40.38, 10=0252,
8=FIX4.4, 35=D, 34=98, 49=M3, 56=MS, 52=2022-09-22-00:41:08, 55=ATEN, 40=2, 38=17755, 21=2, 11=algo20220922004108, 60=2022-09-22-00:41:08, 54=1, 44=6.45, 10=0252,
8=FIX4.4, 35=D, 34=100, 49=M3, 56=MS, 52=2022-09-22-00:41:10, 55=AIR, 40=2, 38=10656, 21=2, 11=algo20220922004110, 60=2022-09-22-00:41:10, 54=1, 44=16.31, 10=0252,
8=FIX4.4, 35=D, 34=101, 49=M3, 56=MS, 52=2022-09-22-00:41:14, 55=AAN, 40=2, 38=8329, 21=2, 11=algo20220922004114, 60=2022-09-22-00:41:14, 54=1, 44=25.68, 10=0252,
8=FIX4.4, 35=D, 34=102, 49=M3, 56=MS, 52=2022-09-22-00:41:15, 55=ABB, 40=2, 38=13002, 21=2, 11=algo20220922004115, 60=2022-09-22-00:41:15, 54=2, 44=17.42, 10=0252,
8=FIX4.4, 35=D, 34=104, 49=M3, 56=MS, 52=2022-09-22-00:41:17, 55=ABT, 40=2, 38=15715, 21=2, 11=algo20220922004117, 60=2022-09-22-00:41:17, 54=1, 44=94.04, 10=0252,
8=FIX4.4, 35=D, 34=106, 49=M3, 56=MS, 52=2022-09-22-00:41:21, 55=ABBV, 40=2, 38=11471, 21=2, 11=algo20220922004121, 60=2022-09-22-00:41:21, 54=1, 44=83.60, 10=0252,
8=FIX4.4, 35=D, 34=107, 49=M3, 56=MS, 52=2022-09-22-00:41:22, 55=ANF, 40=2, 38=27813, 21=2, 11=algo20220922004122, 60=2022-09-22-00:41:22, 54=1, 44=9.10, 10=0252,
8=FIX4.4, 35=D, 34=109, 49=M3, 56=MS, 52=2022-09-22-00:41:24, 55=ABM, 40=2, 38=20036, 21=2, 11=algo20220922004124, 60=2022-09-22-00:41:24, 54=2, 44=31.64, 10=0252,
8=FIX4.4, 35=D, 34=110, 49=M3, 56=MS, 52=2022-09-22-00:41:26, 55=AAPL, 40=2, 38=30481, 21=2, 11=algo20220922004126, 60=2022-09-22-00:41:26, 54=2, 44=284.65, 10=0252,
8=FIX4.4, 35=D, 34=111, 49=M3, 56=MS, 52=2022-09-22-00:41:28, 55=PEP, 40=2, 38=29359, 21=2, 11=algo20220922004128, 60=2022-09-22-00:41:28, 54=1, 44=45.43, 10=0252,
8=FIX4.4, 35=D, 34=113, 49=M3, 56=MS, 52=2022-09-22-00:41:30, 55=, 40=2, 38=15944, 21=2, 11=algo20220922004130, 60=2022-09-22-00:41:30, 54=1, 44=, 10=0252,
